parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Late adult
analysis_id,135w96828wk7905
pvalue,0.1177209
gene_accession_id,MGI:2140475
mouse_strain,C57BL
gene_symbol,AU040320
