analysis_id,v41mzy15erus0ub
gene_accession_id,MGI:1276578
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Gfi1b
parameter_id,IMPC_CBC_025_001
pvalue,0.1020421
