gene_symbol,Toporsl
parameter_id,IMPC_ECG_010_001
analysis_id,83tml9ir27tm057
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2249536
gene_accession_id,MGI:1915524
parameter_name,HRV
