analysis_id,z3p1watokb4v793
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
pvalue,0.7009571
parameter_name,Fat mass
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_id,IMPC_DXA_002_001
