analysis_id,0689sj27y7dr7d0
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_name,Center permanence time
gene_accession_id,MGI:1920344
pvalue,0.5232075
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
