parameter_name,Neural tube morphology
analysis_id,l7ffq6hk0t7k98f
mouse_strain,C57BL
gene_symbol,Trpa1
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:3522699
pvalue,0.7478266
mouse_life_stage,Early adult
