gene_symbol,Plcb1
mouse_life_stage,Late adult
parameter_name,Ly6Clow monocyte number
pvalue,0.8136421
parameter_id,MGP_PBI_038_001
analysis_id,knd3o42rmnonqh2
mouse_strain,C57BL
gene_accession_id,MGI:97613
