gene_symbol,Rgs20
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
analysis_id,98ji6a82l73n551
parameter_name,Distance travelled - total
mouse_strain,C57BL
pvalue,0.4636934
parameter_id,HRWLLA_OFD_020_001
