gene_symbol,Lamb3
parameter_id,MGP_PBI_032_001
mouse_strain,C57BL
pvalue,0.1671656
parameter_name,CD4+ KLRG1+ alpha beta T cell number
analysis_id,w7l97k6dj531oc9
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
