parameter_id,JAXLA_GRS_010_001
gene_symbol,Sema6c
mouse_strain,C57BL
pvalue,0.9428617
gene_accession_id,MGI:1338032
analysis_id,l44vc988dc4mcfr
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
