gene_symbol,Galk2
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:1917226
parameter_name,Dark side time spent
mouse_strain,C57BL
pvalue,0.1476917
analysis_id,1ql54xjy2296gl5
mouse_life_stage,Early adult
