parameter_name,Limb morphology
analysis_id,99lps200z107di0
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_084_001
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
pvalue,0.4137865
mouse_strain,C57BL
