gene_symbol,Psd4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
parameter_name,MZB (CD21/35 high)
analysis_id,9488owijs12zl9c
gene_accession_id,MGI:2674093
pvalue,0.8870254
