gene_symbol,Stk35
mouse_strain,C57BL
analysis_id,r7jv47ueu1lu40u
parameter_name,Ly6Clow monocyte number
pvalue,0.3131016
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
