parameter_name,B2B Cells
gene_symbol,Ppm1j
parameter_id,IMPC_IMM_065_001
analysis_id,z40e2k7z88eppdn
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2443548
