analysis_id,0g65201l2s4a028
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:2446186
pvalue,0.3543947
gene_symbol,Lpgat1
