analysis_id,9ue3np04no8722x
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
parameter_id,IMPC_CBC_003_001
mouse_strain,C57BL
gene_symbol,Bach2
parameter_name,Chloride
pvalue,0.08524129
