parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
analysis_id,h5vt2a246e93l24
pvalue,0.19816
mouse_strain,C57BL
parameter_name,center - distance
gene_symbol,Ssr2
