analysis_id,9715n92693933ru
parameter_name,KLRG1+ mature NK cell number
gene_symbol,Car13
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3753125
gene_accession_id,MGI:1931322
