analysis_id,9ff304rj6u3472g
pvalue,0.7088379
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,HRV
gene_symbol,Mov10
gene_accession_id,MGI:97054
