parameter_name,Vocalization
pvalue,0.5305911
parameter_id,IMPC_CSD_078_001
mouse_strain,C3H
gene_symbol,Mecom
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
analysis_id,kifvp0c74778km7
