analysis_id,r1q71iqz22x9y60
pvalue,0.1449131
parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
mouse_life_stage,E12.5
gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
