parameter_name,% Freezing duration pre-cue-2
analysis_id,p0x698708x837ol
mouse_life_stage,Early adult
pvalue,0.2015886
gene_accession_id,MGI:109384
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
gene_symbol,Atf3
