analysis_id,pzerv73s1c25y1s
mouse_strain,C57BL
parameter_name,End-Systolic Diameter
gene_symbol,Fgb
parameter_id,IMPC_ECH_001_001
mouse_life_stage,E12.5
pvalue,0.4949933
gene_accession_id,MGI:99501
