analysis_id,49j8ako7w5cdl5o
parameter_id,JAX_OFD_010_001
parameter_name,Periphery distance travelled
mouse_strain,C57BL
pvalue,0.4142839
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
gene_symbol,Exd1
