gene_symbol,Cdin1
gene_accession_id,MGI:3026886
parameter_name,% Pre-pulse inhibition - PPI2
pvalue,0.7432807
mouse_strain,C57BL
analysis_id,9qxrmo735p39ush
parameter_id,IMPC_ACS_034_001
mouse_life_stage,E9.5
