gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
pvalue,0.832172
parameter_name,Lean mass
analysis_id,95a6n4184gfhonv
mouse_strain,C57BL
