parameter_name,Distance travelled - total
gene_symbol,Nemp2
mouse_strain,C57BL
pvalue,1.328621
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_020_001
analysis_id,04747k276b13akk
gene_accession_id,MGI:2444113
