analysis_id,3vhae8t835wk00j
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Wars2
pvalue,0.550892
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:1917810
