parameter_name,PP1 startle magnitude
pvalue,0.3060567
mouse_life_stage,Early adult
gene_symbol,Ivd
gene_accession_id,MGI:1929242
analysis_id,pi1n0ck9452q481
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
