gene_symbol,Psmd14
mouse_strain,C57BL
gene_accession_id,MGI:1913284
pvalue,0.5887439
mouse_life_stage,Early adult
analysis_id,89noa248tf6g504
parameter_id,IMPC_XRY_002_001
parameter_name,Zygomatic bone
