gene_symbol,Toporsl
pvalue,0.7948514
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
analysis_id,e1bdym41b597376
