parameter_name,Total T cell percentage
analysis_id,j88ow7s5uegdy9a
mouse_strain,C59BL
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
pvalue,0.1685989
gene_accession_id,MGI:1921895
gene_symbol,Tent5c
