analysis_id,51z208xudx0u0tq
gene_symbol,Arpc5l
pvalue,0.3173199
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
parameter_id,MGP_MLN_093_001
