parameter_id,JAX_SLW_014_001
mouse_strain,B6J
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,Early adult
pvalue,0.6859287
analysis_id,089laxx4u4mzvqq
