gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_name,Hindlimb nail - number
mouse_life_stage,Early adult
pvalue,0.4793909
analysis_id,9lv127x8oimono4
parameter_id,IMPC_CSD_051_002
