parameter_id,IMPC_HWT_008_001
mouse_life_stage,Early adult
analysis_id,v5ce2jp54j99186
parameter_name,Heart weight
gene_symbol,Nanp
pvalue,0.2918196
mouse_strain,C57BL
gene_accession_id,MGI:1914561
