analysis_id,39v5nd0j52z45b9
mouse_life_stage,E15.5
gene_symbol,Bmi1
parameter_id,HRWLLA_DXA_007_001
pvalue,0.5254326
parameter_name,BMC/Body weight
gene_accession_id,MGI:88174
mouse_strain,C57BL
