gene_symbol,Sfpq
analysis_id,4iv5m14l9977098
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
pvalue,0.3614645
parameter_id,IMPC_CBC_058_001
mouse_strain,C57BL
parameter_name,Cholesterol ratio
