parameter_name,Eosinophil number
gene_accession_id,MGI:109585
gene_symbol,Pld1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,2z7w47z05kc4hpx
parameter_id,MGP_PBI_040_001
pvalue,0.9660838
