gene_symbol,Sprr1b
parameter_id,HRWLLA_OFD_013_001
parameter_name,Periphery average speed
gene_accession_id,MGI:106659
pvalue,0.2613323
mouse_life_stage,Early adult
analysis_id,77fwf78o5169sz0
mouse_strain,C57BL
