mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,KIFAP3
pvalue,1.019648
gene_accession_id,MGI:107566
analysis_id,beyrs2uwf663idw
parameter_id,IMPC_HEM_038_001
parameter_name,Basophil differential count
