parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9614406
gene_accession_id,MGI:95835
analysis_id,25b7ua0ana162by
