parameter_name,Right kidney weight
mouse_strain,C51BL
pvalue,0.611419
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
gene_symbol,Extl1
analysis_id,q81e9161699n87x
