analysis_id,63y8u8n34zv15no
pvalue,0.7541114
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
mouse_strain,C57BL
