gene_symbol,Rgs20
analysis_id,302u9i3cstcgpte
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_005_002
gene_accession_id,MGI:1929866
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
pvalue,0.9312051
