parameter_name,Thyroxine
gene_accession_id,MGI:2446274
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Frmpd1
analysis_id,65g447un33431h7
parameter_id,IMPC_CBC_053_001
pvalue,0.0964414
