analysis_id,4hbmxo682zaqz4r
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2151478
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:1923029
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Dnaaf9
