analysis_id,u5q4e1s8m92l9xd
gene_accession_id,MGI:2444777
parameter_id,IMPC_XRY_007_001
gene_symbol,Ncaph
mouse_strain,C57BL
pvalue,1.283823
mouse_life_stage,Early adult
parameter_name,Clavicle
