analysis_id,liw1aaa38dq569i
mouse_life_stage,Early adult
gene_accession_id,MGI:1914061
gene_symbol,Duoxa2
parameter_id,JAX_ROT_002_001
parameter_name,Average duration
pvalue,0.5167945
mouse_strain,C57BL
