analysis_id,00yokorejp24to9
pvalue,0.5709098
parameter_name,Phosphorus
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
gene_symbol,Usp37
parameter_id,IMPC_CBC_010_001
mouse_strain,C57BL
