parameter_name,Spleen weight
gene_accession_id,MGI:2444777
analysis_id,427d47491c1yk3r
mouse_life_stage,Early adult
pvalue,0.7515127
parameter_id,UCD_OWT_003_001
mouse_strain,C57BL
gene_symbol,Ncaph
