parameter_name,Centre distance travelled
mouse_strain,C57BL
pvalue,0.1301361
gene_accession_id,MGI:109356
gene_symbol,Snap23
analysis_id,k5q93l2tx944370
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_007_001_010
