analysis_id,n8rh4242z41670g
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
mouse_strain,C57BL
gene_accession_id,MGI:1914256
pvalue,0.9771296
mouse_life_stage,Early adult
gene_symbol,Cisd2
