analysis_id,h530xl6me0846zc
mouse_life_stage,Early adult
gene_symbol,Ift74
pvalue,0.5186181
gene_accession_id,MGI:1914944
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
parameter_name,Haemoglobin
