analysis_id,58o96430bu80946
pvalue,0.7459273
parameter_id,TCPLA_CSD_030_001
parameter_name,Tremor
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
