gene_symbol,Sema6c
parameter_name,Thyroxine
pvalue,0.7636913
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
analysis_id,fs36bt86b04wcn6
