parameter_name,Triglycerides
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
analysis_id,0640d577x09v4nz
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7200388
