parameter_name,White blood cell-count
pvalue,0.829451
mouse_strain,C57BL
gene_symbol,Ap5s1
parameter_id,M-G-P_016_001_001
mouse_life_stage,Early adult
analysis_id,75jym4199zh1cf0
gene_accession_id,MGI:1916846
