parameter_id,JAXLA_DXA_003_001
analysis_id,9ipalh7l650rz8m
gene_symbol,Snrpb2
pvalue,0.808548
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
parameter_name,Lean mass
mouse_strain,C57BL
