analysis_id,e175727l77og115
mouse_life_stage,Early adult
parameter_name,Corneal vascularization
mouse_strain,C57BL
parameter_id,IMPC_EYE_009_001
gene_accession_id,MGI:1925049
pvalue,0.9161515
gene_symbol,Sla2
