gene_symbol,Amigo1
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:2653612
parameter_id,MGP_IMM_131_001
mouse_life_stage,Early adult
pvalue,0.2285107
analysis_id,s7t59akg5op2w2y
