gene_symbol,Nipal3
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.518327
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
analysis_id,6y6f89g9ku4154p
mouse_strain,129SV
parameter_id,MGP_PBI_003_001
