analysis_id,h09mi244013l2a7
pvalue,0.59349
parameter_id,MGP_IMM_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_name,Total T cells - % of CD45+
gene_symbol,Cisd2
